sample_id,database,input_type,operation_type,review_categories,first_failure_stage,failure_reason_code,failure_reason_detail,root_cause_auto_noncausal,oracle_if_bypassed_correct,state_diff_classes,state_diff_gold_delta,state_diff_predicted_delta,state_diff_difference,manual_review_status,reviewer_root_cause,conflict_ambiguity_gold_label,manual_review_notes
final_archeology_002,archeology,free_text,insert_ignore,CONFLICT_AMBIGUITY,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,{},{},{},COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies insert-ignore/do-nothing behavior and identifies the conflict key(s); conflicting rows must remain unchanged. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: projects: action=do_nothing; target=arcregistry; updates=<none> || projects: action=do_nothing; target=arcregistry; updates=<none> || scanconservation: action=do_nothing; target=cureregistry; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_archeology_010,archeology,semi_structured,plain_insert,CONFLICT_AMBIGUITY,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,{},{},{},COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies plain-insert/error-on-conflict behavior with no conflict target or update columns. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: projects: action=error; target=<none>; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_archeology_012,archeology,semi_structured,upsert_update,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict target, update columns, policy. The parsed write_semantics is 'needs_clarification' while the explicit request is 'upsert_update'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_archeology_017,archeology,free_text,insert_ignore,CONFLICT_AMBIGUITY,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,{},{},{},COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies insert-ignore/do-nothing behavior and identifies the conflict key(s); conflicting rows must remain unchanged. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: projects: action=do_nothing; target=arcregistry; updates=<none> || projects: action=do_nothing; target=arcregistry; updates=<none> || sites: action=do_nothing; target=zoneregistry; updates=<none> || personnel: action=do_nothing; target=crewregistry; updates=<none> || scans: action=do_nothing; target=questregistry; updates=<none> || scanpointcloud: action=do_nothing; target=cloudregistry; updates=<none> || scanqc: action=do_nothing; target=qualregistry; updates=<none> || scanregistration: action=do_nothing; target=logregistry; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_archeology_029,archeology,semi_structured,insert_ignore,CONFLICT_AMBIGUITY,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,{},{},{},COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies insert-ignore/do-nothing behavior and identifies the conflict key(s); conflicting rows must remain unchanged. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: projects: action=do_nothing; target=arcregistry; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_archeology_032,archeology,free_text,insert_ignore,EXECUTED_BUT_WRONG;STATE_MISMATCH,state_mismatch,STATE_WRONG_CONFLICT_BEHAVIOR,wrong_state,FINAL_STATE_MISMATCH,,STATE_WRONG_CONFLICT_BEHAVIOR;STATE_EXTRA_ROW,{},"{""sites"": {""added"": [{""depthc"": null, ""digunit"": null, ""entrystat"": null, ""envhaz"": null, ""geox"": null, ""geoy"": null, ""gridtrace"": null, ""guardhint"": null, ""guessdate"": null, ""healtheval"": null, ""heightm"": null, ""insurstat"": null, ""phasefactor"": null, ""presstat"": null, ""riskeval"": null, ""saferank"": null, ""typesite"": null, ""zonelabel"": null, ""zoneregistry"": ""SC9081.""}], ""added_count"": 1, ""columns"": [""zoneregistry"", ""zonelabel"", ""digunit"", ""gridtrace"", ""geox"", ""geoy"", ""heightm"", ""depthc"", ""phasefactor"", ""guessdate"", ""typesite"", ""presstat"", ""guardhint"", ""entrystat"", ""saferank"", ""insurstat"", ""riskeval"", ""healtheval"", ""envhaz""], ""removed"": [], ""removed_count"": 0}}","{""sites"": {""columns"": [""zoneregistry"", ""zonelabel"", ""digunit"", ""gridtrace"", ""geox"", ""geoy"", ""heightm"", ""depthc"", ""phasefactor"", ""guessdate"", ""typesite"", ""presstat"", ""guardhint"", ""entrystat"", ""saferank"", ""insurstat"", ""riskeval"", ""healtheval"", ""envhaz""], ""extra_count"": 1, ""extra_in_prediction"": [{""depthc"": null, ""digunit"": null, ""entrystat"": null, ""envhaz"": null, ""geox"": null, ""geoy"": null, ""gridtrace"": null, ""guardhint"": null, ""guessdate"": null, ""healtheval"": null, ""heightm"": null, ""insurstat"": null, ""phasefactor"": null, ""presstat"": null, ""riskeval"": null, ""saferank"": null, ""typesite"": null, ""zonelabel"": null, ""zoneregistry"": ""SC9081.""}], ""missing_count"": 0, ""missing_from_prediction"": []}}",COMPLETED,EVIDENCE_SPAN_BOUNDARY_ERROR,,"The request explicitly names existing conflict key SC9081 and asks for DO NOTHING. The generated plan uses evidence e3='SC9081.' including terminal punctuation, so the compiled insert targets a new key SC9081. instead of conflicting with SC9081. The conflict action itself is correct; the extra row is caused by evidence-span boundary/identifier normalization, not by the verifier or compiler."
final_archeology_042,archeology,semi_structured,upsert_update,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns. Parsed write_semantics (upsert_update) matches the explicit request (upsert_update), and the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. This is strong evidence that control-field coverage is the blocking failure, although downstream behavior still requires an isolated intervention test."
final_archeology_046,archeology,free_text,plain_insert,EXECUTED_BUT_WRONG;STATE_MISMATCH,state_mismatch,STATE_WRONG_VALUE,wrong_state,FINAL_STATE_MISMATCH,,STATE_WRONG_VALUE,"{""personnel"": {""added"": [{""crewlabel"": ""Mira Solano"", ""crewregistry"": ""OPARC4601"", ""leadlabel"": ""Darius Holt"", ""leadregistry"": ""SVARC4601""}], ""added_count"": 1, ""columns"": [""crewregistry"", ""crewlabel"", ""leadregistry"", ""leadlabel""], ""removed"": [], ""removed_count"": 0}}","{""personnel"": {""added"": [{""crewlabel"": ""OPARC4601"", ""crewregistry"": ""Mira Solano"", ""leadlabel"": ""SVARC4601"", ""leadregistry"": ""Darius Holt""}], ""added_count"": 1, ""columns"": [""crewregistry"", ""crewlabel"", ""leadregistry"", ""leadlabel""], ""removed"": [], ""removed_count"": 0}}","{""personnel"": {""columns"": [""crewregistry"", ""crewlabel"", ""leadregistry"", ""leadlabel""], ""extra_count"": 1, ""extra_in_prediction"": [{""crewlabel"": ""OPARC4601"", ""crewregistry"": ""Mira Solano"", ""leadlabel"": ""SVARC4601"", ""leadregistry"": ""Darius Holt""}], ""missing_count"": 1, ""missing_from_prediction"": [{""crewlabel"": ""Mira Solano"", ""crewregistry"": ""OPARC4601"", ""leadlabel"": ""Darius Holt"", ""leadregistry"": ""SVARC4601""}]}}",COMPLETED,FREE_TEXT_COLUMN_MAPPING_ERROR,,"The evidence candidates are correct (OPARC4601, Mira Solano, SVARC4601, Darius Holt), but the reference plan maps them to the wrong personnel columns: registry/label pairs are swapped. The compiled SQL faithfully inserts the malformed mapped row. Root cause is free-text evidence-to-column mapping, not value extraction or execution."
final_archeology_056,archeology,semi_structured,insert_ignore,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, conflict_action, known_conflict_witness, new_keys. The parsed write_semantics is 'plain_insert' while the explicit request is 'insert_ignore'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_archeology_057,archeology,semi_structured,upsert_update,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, relationship_columns_not_updated. In addition, the materialized plan has a latent semantic mismatch relative to gold (extra update columns: arcref, zoneref). Therefore this sample confirms the control-field policy defect as the first rejection, but it is NOT evidence that fixing control-field coverage alone would recover final correctness."
