sample_id,db_id,method,error_category,error_stage,error_type,error_message,detected_mode,detected_format
aug_seed_000068_single_row_subset_002,superhero,MP-FS+,E11_conflict_target_or_mask,interpretation,MISSING_UPDATE_COLUMN_IDS,upsert_update requires at least one enumerated update column.,free_text,free_text
seed_000231,california_schools,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"schools: missing required columns: CDSCode, DOC, DOCType, LastUpdate.",semi_structured,csv
seed_000005,financial,MP-FS+,E10_conflict_semantics,interpretation,NEEDS_CLARIFICATION,Conflict behavior is ambiguous; the fail-closed policy abstains.,semi_structured,json_array
aug_seed_000049_relational_format_variant_002,debit_card_specializing,MP-FS+,correct,correct,,,semi_structured,multi_table
aug_seed_000292_single_row_subset_001,european_football_2,MP-FS+,E8_wrong_or_hallucinated_value,source_grounding,LOSSY_NORMALIZATION_REJECTED,Value is not a supported unambiguous date.,free_text,free_text
aug_seed_000349_relational_format_variant_002,debit_card_specializing,MP-FS+,E5_wrong_mapping,source_grounding,UNRESOLVED_SOURCE_FIELD,"Source field 'Date' is neither mapped, justified, nor consumed as typed control semantics.",semi_structured,multi_table
seed_000110,financial,MP-FS+,correct,correct,,,semi_structured,json_array
aug_seed_000073_relational_format_variant_002,superhero,MP-FS+,correct,correct,,,semi_structured,multi_table
aug_seed_000054_small_batch_subset_001,card_games,MP-FS+,other,other,UNKNOWN_EVIDENCE_ID,Unknown enumerated evidence ID 'e28'.,free_text,free_text
seed_000302,card_games,MP-FS+,E10_conflict_semantics,interpretation,NEEDS_CLARIFICATION,The request mentions a duplicate/conflict but leaves the write policy unspecified; the fail-closed policy abstains.,semi_structured,json_array
aug_seed_000237_single_row_subset_001,student_club,MP-FS+,correct,correct,,,semi_structured,markdown_table
aug_seed_000285_small_batch_subset_001,student_club,MP-FS+,correct,correct,,,semi_structured,key_value
aug_seed_000356_small_batch_subset_001,financial,MP-FS+,E8_wrong_or_hallucinated_value,source_grounding,LOSSY_NORMALIZATION_REJECTED,Value is not enclosed by one matching quote pair.,free_text,free_text
seed_000002,debit_card_specializing,MP-FS+,E10_conflict_semantics,interpretation,NEEDS_CLARIFICATION,Conflict behavior is ambiguous; the fail-closed policy abstains.,semi_structured,json_array
seed_000190,student_club,MP-FS+,E10_conflict_semantics,interpretation,NEEDS_CLARIFICATION,The request mentions a duplicate/conflict but leaves the write policy unspecified; the fail-closed policy abstains.,semi_structured,json_array
aug_seed_000143_single_row_subset_001,financial,MP-FS+,correct,correct,,,free_text,free_text
aug_seed_000346_relational_format_variant_002,codebase_community,MP-FS+,E5_wrong_mapping,source_grounding,UNRESOLVED_SOURCE_FIELD,"Source field 'Id' is neither mapped, justified, nor consumed as typed control semantics.",semi_structured,multi_table
seed_000291,california_schools,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: schools.CDSCode,semi_structured,key_value
aug_seed_000017_small_batch_subset_001,student_club,MP-FS+,E8_wrong_or_hallucinated_value,source_grounding,LOSSY_NORMALIZATION_REJECTED,Value is not a supported unambiguous date.,free_text,free_text
seed_000261,debit_card_specializing,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: customers.CustomerID,semi_structured,key_value
aug_seed_000246_single_row_subset_001,financial,MP-FS+,correct,correct,,,semi_structured,markdown_table
aug_seed_000194_single_row_subset_001,student_club,MP-FS+,E8_wrong_or_hallucinated_value,source_grounding,LOSSY_NORMALIZATION_REJECTED,Value is not a supported unambiguous date.,free_text,free_text
aug_seed_000068_small_batch_subset_001,superhero,MP-FS+,E16_state_mismatch,state,wrong_state,,free_text,free_text
aug_seed_000183_small_batch_subset_001,european_football_2,MP-FS+,E8_wrong_or_hallucinated_value,source_grounding,LOSSY_NORMALIZATION_REJECTED,Value is not a supported unambiguous date.,free_text,free_text
seed_000201,formula_1,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,datatype mismatch,semi_structured,json_array
seed_000044,superhero,MP-FS+,E3_unknown_column,interpretation,UNKNOWN_COLUMN_ID,Unknown enumerated column ID 't9.id'.,semi_structured,json_array
aug_seed_000253_small_batch_subset_001,formula_1,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: status.statusId,semi_structured,key_value
seed_000243,formula_1,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: drivers.driverId,semi_structured,markdown_table
aug_seed_000211_single_row_subset_001,european_football_2,MP-FS+,correct,correct,,,free_text,free_text
seed_000189,student_club,MP-FS+,correct,correct,,,semi_structured,json_array
aug_seed_000253_single_row_subset_001,formula_1,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,Candidate was rejected by the semantic-risk gate before transactional preflight.,free_text,free_text
aug_seed_000255_single_row_subset_001,financial,MP-FS+,correct,correct,,,free_text,free_text
seed_000095,superhero,MP-FS+,E3_unknown_column,interpretation,UNKNOWN_COLUMN_ID,Unknown enumerated column ID 't1.c3'.,semi_structured,json_array
aug_seed_000031_single_row_subset_001,student_club,MP-FS+,E16_state_mismatch,state,wrong_state,,free_text,free_text
seed_000192,financial,MP-FS+,E10_conflict_semantics,interpretation,NEEDS_CLARIFICATION,Conflict behavior is ambiguous; the fail-closed policy abstains.,semi_structured,json_array
aug_seed_000241_single_row_subset_001,european_football_2,MP-FS+,E8_wrong_or_hallucinated_value,source_grounding,LOSSY_NORMALIZATION_REJECTED,Value is not a supported unambiguous date.,free_text,free_text
aug_seed_000353_single_row_subset_001,student_club,MP-FS+,E16_state_mismatch,state,wrong_state,,free_text,free_text
aug_seed_000013_single_row_subset_001,european_football_2,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,Candidate was rejected by the semantic-risk gate before transactional preflight.,free_text,free_text
aug_seed_000316_small_batch_subset_001,student_club,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: zip_code.zip_code,semi_structured,key_value
