sample_id,database,input_type,operation_type,difficulty,conflict_sensitive,dependency_sensitive,target_state_correct,strict_state_correct,execution_success,admitted,abstained,off_target_change,constraint_failure,execution_failure,generation_ok,parse_ok,reference_resolution_ok,materialization_ok,verification_ok,compilation_ok,semantic_gate_ok,preflight_ok,admission_ok,execution_ok,state_correct,first_failure_stage,failure_reason_code,failure_reason_detail,root_cause,manual_review_required,manual_review_label,manual_review_notes,oracle_if_bypassed_correct,abstention_reason,direct_correct,jfs_correct,mpfsplus_correct,paired_category
final_archeology_001,archeology,free_text,plain_insert,,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,TARGET_MISSING_COLUMN,equipment: missing required columns: equipregistry.,LLM_SEMANTIC_ERROR,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_002,archeology,free_text,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,0,0,0,ALL_WRONG
final_archeology_003,archeology,free_text,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,NA,NA,NA,NA,semantic_gate,RISK_TRUE_REJECT,"Fail-closed semantic grounding warning: EVIDENCE_COLUMN_TABLE_MISMATCH, UPDATE_COLUMN_MISSING_VALUE",PREFLIGHT_ERROR,0,,,0,risk_reject,0,0,0,ALL_WRONG
final_archeology_004,archeology,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_005,archeology,semi_structured,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source row 0 has no field 'vesseltag'.,MATERIALIZATION_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_006,archeology,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_007,archeology,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_008,archeology,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_009,archeology,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_010,archeology,semi_structured,plain_insert,,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_011,archeology,semi_structured,insert_ignore,,1,0,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source row 0 has no field 'vesseltag'.,MATERIALIZATION_ERROR,0,,,0,grounding_failure,0,1,0,J_CORRECT_MP_WRONG
final_archeology_012,archeology,semi_structured,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,VERIFIER_OVER_REJECTION,1,over_reject_candidate,,1,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_013,archeology,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_014,archeology,semi_structured,insert_ignore,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_015,archeology,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
