sample_id,db_id,input_type,operation_type,dependency_sensitive,F_attempted,diagnostic_source,D_G1_target_state_correct,D_F_G1_target_state_correct,FULL_target_state_correct,D_G1_first_failure_stage,D_F_G1_first_failure_stage,FULL_first_failure_stage,D_G1_error_type,D_F_G1_error_type,FULL_error_type
aug_seed_000068_single_row_subset_002,superhero,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS
seed_000231,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN
seed_000005,financial,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,NEEDS_CLARIFICATION
aug_seed_000049_relational_format_variant_002,debit_card_specializing,semi_structured,plain_insert,1,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000292_single_row_subset_001,european_football_2,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,preflight,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,preflight_abstention
aug_seed_000349_relational_format_variant_002,debit_card_specializing,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
seed_000110,financial,semi_structured,plain_insert,0,1,full_secondary,0,1,1,build,none,none,UNKNOWN_COLUMN_ID,,
aug_seed_000073_relational_format_variant_002,superhero,semi_structured,plain_insert,1,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000054_small_batch_subset_001,card_games,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID
seed_000302,card_games,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION
aug_seed_000237_single_row_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000285_small_batch_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000356_small_batch_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED
seed_000002,debit_card_specializing,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION
seed_000190,student_club,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION
aug_seed_000143_single_row_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000346_relational_format_variant_002,codebase_community,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
seed_000291,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000017_small_batch_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,MISSING_UPDATE_COLUMN_IDS
seed_000261,debit_card_specializing,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000246_single_row_subset_001,financial,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
